ID,Name,Verified,Serving,Calories,Fat,Carbohydrates,Protein,Fiber
1,Apple,TRUE,medium,52,0.17,13.81,0.26,2.4
2,Medium Apple,TRUE,"medium (3"" dia) (182g)",95,0.3,25,0.5,4.4
3,Apple,TRUE,apple,50,0,13,0,2
4,Apple,TRUE,grams,80,0,22,0,5
5,Medium Apple,TRUE,one,80,0,22,0,5
6,Apple Country,TRUE,apple,80,0,22,0,5
7,Apple Med Gala,TRUE,apple,80,0,22,0,5
8,Assorted,FALSE,g,54,0.3,13.9,0.8,2.3
9,Apple,FALSE,medium,250,0,29,0.05,2
10,Apple,TRUE,Medium apple 154g,80,0,22,0,5
11,Granny Smith Apple,TRUE,Medium,80,0,22,0,5
12,Apple,FALSE,fruit,80,0.2,22,0,5
13,Granny Smith Apple,TRUE,medium (154g),80,0,22,0,5
14,Apple We,FALSE,pc,72,0.2,19,0.3,2.6
15,Red Apple Slices,TRUE,slices,70,0,19,0,3
16,Apple Slices,TRUE,g,35,0,9,0,2
17,Apple 1,FALSE,gr,54,0.3,13.9,0.8,2.3
18,Apple (G),FALSE,g / 1 large,130,0,34,1,5
19,1 Normal Apple,FALSE,Normal Apple,52,0,25,0,4
20,Royal Gala Apple,FALSE,medium raw,80,0,20,0,5
21,Apple,FALSE,g,71,0.1,11.8,0.4,1.8
22,Gala Apple,FALSE,Medium Apple(154g/5.5 oz),80,0,22,0,5
23,Fuji Apple,FALSE,large,118,0,34,1,5
24,Apple Fritter,TRUE,donut,300,14,41,4,1
25,Apple Straws,TRUE,straws,130,7,16,1,2
26,Apple Bread,TRUE,piece,200,7,33,3,1
27,Apple Butter,TRUE,tbsp,35,0,8,0,0
28,Crispin Apple,FALSE,medium apple,0,0,0,0,0
29,Apple Juicer,FALSE,Whole,45,0.18,14.4,0.27,0.4
30,100 % Apple Juice,TRUE,oz juice box,90,0,21,0,0
31,Apple Pie,TRUE,pie,270,14,34,3,1
32,Apple Sauce,TRUE,packet,60,0,15,0,0
33,Apple Pie Baked in an Apple,TRUE,apple,250,13,32,2,4
34,Apple Cinnamon Straws,TRUE,straws,130,7,15,1,1
35,Half apple,FALSE,meal,323,2,12,40,0
36,Apple Pack,TRUE,Pack,35,0,9,0,2
37,Apple,TRUE,gram(s),94.64,0.3094,25.1342,0.4732,4.368
38,Apple,FALSE,g,100,0.3,24,0.3,3.3
39,Apple- Med Apple,FALSE,medium,95,0.3,25,0.5,4.4
40,Apple,FALSE,g,83,0.4,19.5,0.3,3.6
41,apple,FALSE,g,80,0,22,0,5
42,Apple Juice,FALSE,fl oz,140,0,31,0,0
43,Apple Small Green Apple,FALSE,Apple,84,0,22,0,6
44,Apple,TRUE,g,80,0,22,0,5
45,Apple Juice,TRUE,fl oz,60,0,14,0,0
46,Cortland Apple,TRUE,medium apple,80,0,22,0,5
47,McIntosh Apple,TRUE,large apple,130,0,34,1,5
48,Sweetheart Apple,TRUE,slice,124,8,21,2,2
49,Apple Apple,TRUE,pouch,70,0,16,0,3
50,Apple,TRUE,fruit,95,0.3,25,0.5,4.4
51,Apple Pie,TRUE,g,270,15,32,2,1
52,Fuji Apple,TRUE,medium apple,80,0,22,0,5
53,Apple Organic,FALSE,g,48,0.49,10,0.49,1
54,Apple,TRUE,apple,95,0.3,25,0,4.4
55,carmel apple,FALSE,apple,250,8,45,2,2
56,Apple Sweetango Corrected,FALSE,Medium Apple,80,0.2,22,0,5
57,Apple,TRUE,whole,95,0.3,25,0.5,4.4
58,Apple Juice,TRUE,fl oz,110,0,27,0,0
59,Apple Fries,TRUE,bag,25,0,6,0,1
60,"Strudel, apple",TRUE,oz,274,11.2,41.1,3.3,2.2
61,Apple,TRUE,g,80,0,22,0,5
62,Apple,TRUE,each,67.93,0.2221,18.0406,0.3396,3.1352
63,Apple,TRUE,apple,80,0,21,0,4
64,Apple,TRUE,medium (3'' dia),95,0.3,25,0.5,4.4
65,Apple,TRUE,apple,80,0,22,0,5
66,Apple,TRUE,cup,65,0.2,17,0.3,3
67,Apple 3 Slices,FALSE,Slices,26,0.09,7.04,0.13,1.2
68,Caramel Apple,TRUE,apple,180,2.5,41,1,2
69,Apple Soda,TRUE,can,140,0,35,0,0
70,Apple,TRUE,I,80,0,22,0,5
71,Apple,TRUE,apple,80,0,22,0,5
72,Apple,TRUE,g,80,0,22,0,5
73,Apple=100 Cal.,FALSE,Apple,100,0,19,0,3
74,Apple Pie,TRUE,slice,360,16,53,3,0.5
75,Apple,TRUE,apple,95,0.3,25,0.5,4.4
76,"Croissants, apple",TRUE,oz,254,8.7,37.1,7.4,2.5
77,Apple,TRUE,apple,80,0,21,0,4
78,Apple,TRUE,Medium,80,0,22,0,5
79,Apple Pancake,TRUE,pancake,248,11,37,5,4
80,Apple,TRUE,g,95,0.3,25,0.5,4.4
81,"Beverage, Apple",TRUE,bottle,160,0,40,0,0
82,Apple,TRUE,cup,80,0,22,0,5
83,Michigan,TRUE,g,130,0,34,1,5
84,apple danish,FALSE,slice,200,10,26,2,1
85,Apple,TRUE,apple,95,0,25,0,4
86,Apple Slice,FALSE,slices,9,0,0,0,0
87,apple snack,FALSE,gram,130,7,15,1,1
88,Apple,TRUE,med apple,95,0.3,25,0.5,4.4
89,Pink Lady Apple,TRUE,Medium,72,0.23,19.06,0.36,3.3
90,Green (Medium Apple),TRUE,Apple,80,0,22,0,5
91,12 Apple Slices Sams,TRUE,slices,70,0,19,0,0
92,Apple,TRUE,small,65,0.2,17,0.5,3
93,McIntosh Apple,TRUE,medium apple,80,0,22,0,5
94,Apple,TRUE,medium apple,80,0,22,0,5
95,Caramel Apple,TRUE,apple,180,2.5,41,1,2
96,Apple Juice,TRUE,fl oz,90,0,21,0,0
97,Apple Butter,TRUE,tbsp,30,0,8,0,0
98,Braeburn Apple - 1 Medium,TRUE,apple,80,0,22,0,5
99,Apple Cider,TRUE,fl oz,120,0,30,0,0
100,Baked Apple,FALSE,apple,325,0,0,0,0
